date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2020-02-06,sh.000002,2962.2410,3014.3850,2942.0190,3003.8090,2953.0100,31600364800,358356086784.0000,3,0.897218,1,1.720245,0
2020-02-07,sh.000002,2995.8430,3013.7350,2974.7150,3013.7350,3003.8090,30918035200,362198327296.0000,3,0.876934,1,0.330447,0
2020-02-10,sh.000002,2997.5110,3030.3530,2987.6130,3028.9180,3013.7350,29463579392,341319262208.0000,3,0.836503,1,0.503793,0
2020-02-11,sh.000002,3033.1810,3053.4170,3020.2580,3040.6660,3028.9180,26898918656,302854520832.0000,3,0.762545,1,0.387861,0
2020-02-12,sh.000002,3034.2430,3067.1080,3030.9620,3067.1080,3040.6660,24855028992,297417625600.0000,3,0.704603,1,0.869612,0
2020-02-13,sh.000002,3067.3720,3076.0480,3040.2540,3045.3010,3067.1080,27462464000,334408880128.0000,3,0.778496,1,-0.710996,0
2020-02-14,sh.000002,3038.7910,3067.2020,3038.4940,3056.7870,3045.3010,25048203008,307975147520.0000,3,0.710004,1,0.377171,0
2020-02-17,sh.000002,3065.1710,3126.6180,3065.1710,3126.6030,3056.7870,31291581184,366869037056.0000,3,0.887745,1,2.283967,0
2020-02-18,sh.000002,3124.2870,3133.9230,3102.6380,3128.0150,3126.6030,31143933184,374876266496.0000,3,0.881287,1,0.045161,0
2020-02-19,sh.000002,3122.2940,3141.9730,3114.2340,3117.9900,3128.0150,31494427392,381221675008.0000,3,0.891191,1,-0.320491,0
2020-02-20,sh.000002,3124.7890,3176.6470,3110.6880,3175.3580,3117.9900,34538804224,413595017216.0000,3,0.977173,1,1.839903,0
2020-02-21,sh.000002,3167.0560,3205.4940,3164.8660,3185.3280,3175.3580,36423664128,444905795584.0000,3,1.030378,1,0.313980,0
2020-02-24,sh.000002,3172.9580,3187.9740,3151.4390,3176.4800,3185.3280,37012799232,451439484928.0000,3,1.048100,1,-0.277774,0
2020-02-25,sh.000002,3124.9390,3161.5240,3084.7370,3157.4380,3176.4800,44122068992,512894328832.0000,3,1.247452,1,-0.599469,0
2020-02-26,sh.000002,3121.1190,3173.9740,3117.4950,3131.1210,3157.4380,46872336896,495159681024.0000,3,1.325196,1,-0.833492,0
2020-02-27,sh.000002,3135.9070,3153.6770,3123.2870,3134.7110,3131.1210,35029653504,395799379968.0000,3,0.989389,1,0.114655,0
2020-02-28,sh.000002,3064.7540,3089.4220,3016.4690,3018.3640,3134.7110,40078925056,432398295040.0000,3,1.131777,1,-3.711570,0
2020-03-02,sh.000002,3038.2920,3125.4830,3038.2920,3113.3320,3018.3640,36701497856,397037506560.0000,3,1.035671,1,3.146340,0
2020-03-03,sh.000002,3151.0450,3171.9700,3119.3130,3136.3860,3113.3320,40977245184,446875615232.0000,3,1.156509,1,0.740493,0
2020-03-04,sh.000002,3124.7390,3156.4230,3116.9280,3156.0560,3136.3860,35310462464,389777686528.0000,3,0.996531,1,0.627155,0
2020-03-05,sh.000002,3181.7440,3221.7090,3167.8510,3218.9800,3156.0560,44506916096,482584449024.0000,3,1.256073,1,1.993754,0
2020-03-06,sh.000002,3185.6820,3198.8120,3174.6670,3179.9630,3218.9800,36183894528,377279655936.0000,3,1.021181,1,-1.212092,0
2020-03-09,sh.000002,3130.3076,3132.4608,3081.6227,3084.3306,3179.9639,41421108900,437965910435.0000,3,1.168100,1,-3.007371,0
2020-03-10,sh.000002,3058.7912,3144.1540,3044.0068,3140.4639,3084.3306,39293872700,424822531980.0000,3,1.108627,1,1.819951,0
2020-03-11,sh.000002,3145.7015,3154.3693,3110.8151,3110.8151,3140.4639,35222627600,378662790555.0000,3,0.993607,1,-0.944090,0
2020-03-12,sh.000002,3076.6956,3085.6084,3045.5949,3063.6400,3110.8151,30750248400,328058975329.0000,3,0.867359,1,-1.516487,0
2020-03-13,sh.000002,2938.5735,3050.4637,2934.1284,3025.8818,3063.6400,36603046400,392804668241.0000,3,1.032445,1,-1.232462,0
2020-03-16,sh.000002,3036.2275,3036.9805,2918.0977,2922.9318,3025.8818,35153814400,375439186561.0000,3,0.990853,1,-3.402314,0
2020-03-17,sh.000002,2930.3353,2962.4603,2845.3165,2912.8667,2922.9318,30582268100,322842727181.0000,3,0.862539,1,-0.344349,0
